,NAME,TEAM,SALARY
181,"Joe Ingles, SG",Milwaukee Bucks,"$6,479,000"
182,"Lonnie Walker IV, G",Los Angeles Lakers,"$6,479,000"
183,"Danilo Gallinari, PF",Milwaukee Bucks,"$6,479,000"
184,"Caleb Martin, SF",Miami Heat,"$6,479,000"
185,"Patty Mills, PG",Brooklyn Nets,"$6,479,000"
186,"John Wall, PG",LA Clippers,"$6,479,000"
187,"Onyeka Okongwu, PF",Atlanta Hawks,"$6,395,160"
188,"Jarrett Culver, G",Atlanta Hawks,"$6,395,160"
189,"Josh Giddey, SG",Oklahoma City Thunder,"$6,287,280"
190,"Rui Hachimura, PF",Los Angeles Lakers,"$6,263,188"
191,"Rudy Gay, SF",Utah Jazz,"$6,184,500"
192,"Shaedon Sharpe, SG",Portland Trail Blazers,"$6,012,960"
193,"Otto Porter Jr., SF",Toronto Raptors,"$6,000,000"
194,"Cameron Payne, PG",Phoenix Suns,"$6,000,000"
195,"Cam Reddish, SF",Portland Trail Blazers,"$5,954,454"
196,"Cameron Johnson, SF",Brooklyn Nets,"$5,887,899"
197,"Ricky Rubio, PG",Cleveland Cavaliers,"$5,853,659"
198,"Kevin Knox II, SF",Portland Trail Blazers,"$5,845,979"
199,"P.J. Washington, PF",Charlotte Hornets,"$5,808,435"
200,"Jonathan Kuminga, PF",Golden State Warriors,"$5,739,860"
201,"Pat Connaughton, SG",Milwaukee Bucks,"$5,728,393"
202,"Tyler Herro, PG",Miami Heat,"$5,722,116"
203,"Romeo Langford, SG",San Antonio Spurs,"$5,634,257"
204,"Killian Hayes, G",Detroit Pistons,"$5,572,680"
205,"Dyson Daniels, G",New Orleans Pelicans,"$5,508,600"
206,"JaVale McGee, C",Dallas Mavericks,"$5,461,219"
207,"Obi Toppin, PF",New York Knicks,"$5,348,280"
208,"Franz Wagner, SF",Orlando Magic,"$5,258,280"
209,"Kendrick Nunn, G",Washington Wizards,"$5,250,000"
210,"Hamidou Diallo, G",Detroit Pistons,"$5,200,000"
211,"Cory Joseph, PG",Detroit Pistons,"$5,155,500"
212,"Torrey Craig, SF",Phoenix Suns,"$5,121,951"
213,"Jeremy Sochan, F",San Antonio Spurs,"$5,063,520"
214,"David Nwaba, SF",Oklahoma City Thunder,"$5,022,000"
215,"Nickeil Alexander-Walker, SG",Minnesota Timberwolves,"$5,009,633"
216,"Furkan Korkmaz, SG",Philadelphia 76ers,"$5,000,000"
217,"Dante Exum, G",Dallas Mavericks,"$5,000,000"
218,"Lou Williams, SG",Atlanta Hawks,"$5,000,000"
219,"Deni Avdija, SF",Washington Wizards,"$4,916,160"
220,"Garrett Temple, SF",New Orleans Pelicans,"$4,910,000"
221,"Davion Mitchell, PG",Sacramento Kings,"$4,833,600"
222,"Johnny Davis, G",Washington Wizards,"$4,810,320"
223,"Ish Smith, PG",Denver Nuggets,"$4,750,000"
224,"Jalen Smith, PF",Indiana Pacers,"$4,670,160"
225,"Ziaire Williams, F",Memphis Grizzlies,"$4,591,680"
226,"Ousmane Dieng, F",Oklahoma City Thunder,"$4,569,840"
227,"Maurice Harkless, SF",Houston Rockets,"$4,564,980"
228,"Donte DiVincenzo, SG",Golden State Warriors,"$4,500,000"
229,"Jeff Green, PF",Denver Nuggets,"$4,500,000"
230,"Devin Vassell, SG",San Antonio Spurs,"$4,437,000"
231,"Matisse Thybulle, SG",Portland Trail Blazers,"$4,379,527"
232,"Jarred Vanderbilt, PF",Los Angeles Lakers,"$4,374,000"
233,"James Bouknight, SG",Charlotte Hornets,"$4,362,240"
234,"Brandon Clarke, PF",Memphis Grizzlies,"$4,343,920"
235,"Jalen Williams, F",Oklahoma City Thunder,"$4,341,480"
236,"Grant Williams, PF",Boston Celtics,"$4,306,281"
237,"Darius Bazley, F",Phoenix Suns,"$4,264,629"
238,"Tyrese Haliburton, PG",Indiana Pacers,"$4,215,120"
239,"Nassir Little, SF",Portland Trail Blazers,"$4,171,548"
240,"Joshua Primo, G",San Antonio Spurs,"$4,144,320"
241,"Jalen Duren, C",Detroit Pistons,"$4,124,280"
242,"Danuel House Jr., SF",Philadelphia 76ers,"$4,105,000"
243,"Justise Winslow, PF",Portland Trail Blazers,"$4,097,561"
244,"Dylan Windler, G",Cleveland Cavaliers,"$4,037,278"
245,"Chandler Hutchison, SF",Phoenix Suns,"$4,019,459"
246,"Kira Lewis Jr., G",New Orleans Pelicans,"$4,004,280"
247,"Terence Davis, SG",Sacramento Kings,"$4,000,000"
248,"George Hill, PG",Indiana Pacers,"$4,000,000"
249,"Chris Duarte, SG",Indiana Pacers,"$3,936,960"
250,"Ochai Agbaji, G",Utah Jazz,"$3,918,360"
251,"Alex Len, C",Sacramento Kings,"$3,918,000"
252,"Jordan Poole, SG",Golden State Warriors,"$3,901,399"
253,"Keldon Johnson, SF",San Antonio Spurs,"$3,873,025"
254,"Aaron Nesmith, SF",Indiana Pacers,"$3,804,360"
255,"Mark Williams, C",Charlotte Hornets,"$3,722,040"
256,"Gabriel Deck, SF",Oklahoma City Thunder,"$3,676,852"
257,"Cole Anthony, PG",Orlando Magic,"$3,613,680"
258,"Sekou Doumbouya, SF",Los Angeles Lakers,"$3,613,680"
259,"Moses Moody, SG",Golden State Warriors,"$3,562,200"
260,"Corey Kispert, SF",Washington Wizards,"$3,552,960"
261,"AJ Griffin, F",Atlanta Hawks,"$3,536,160"
262,"Mike Muscala, C",Boston Celtics,"$3,500,000"
263,"Georges Niang, SF",Philadelphia 76ers,"$3,465,000"
264,"Chuma Okeke, F",Orlando Magic,"$3,433,320"
265,"Isaiah Stewart, C",Detroit Pistons,"$3,433,320"
266,"Amir Coffey, SG",LA Clippers,"$3,395,062"
267,"Alperen Sengun, C",Houston Rockets,"$3,375,480"
268,"Tari Eason, F",Houston Rockets,"$3,309,160"
269,"Aleksej Pokusevski, F",Oklahoma City Thunder,"$3,261,480"
270,"Trey Burke, PG",Oklahoma City Thunder,"$3,243,750"
271,"Kevin Porter Jr., G",Houston Rockets,"$3,217,631"
272,"Trey Murphy III, SG",New Orleans Pelicans,"$3,206,640"
273,"Simone Fontecchio, F",Utah Jazz,"$3,205,128"
274,"Derrick Jones Jr., SF",Chicago Bulls,"$3,200,000"
275,"Andre Drummond, C",Chicago Bulls,"$3,200,000"
276,"Dalen Terry, F",Chicago Bulls,"$3,191,400"
277,"Kevin Love, PF",Miami Heat,"$3,114,138"
278,"Josh Green, SG",Dallas Mavericks,"$3,098,400"
279,"Jake LaRavia, F",Memphis Grizzlies,"$3,047,640"
280,"Tre Mann, PG",Oklahoma City Thunder,"$3,046,200"
281,"Jordan Nwora, SF",Indiana Pacers,"$3,000,000"
282,"Sterling Brown, SF",Los Angeles Lakers,"$3,000,000"
283,"Luka Samanic, F",Utah Jazz,"$2,959,080"
284,"Saddiq Bey, SF",Atlanta Hawks,"$2,959,080"
285,"Malaki Branham, G",San Antonio Spurs,"$2,925,600"
286,"Kai Jones, PF",Charlotte Hornets,"$2,909,040"
287,"Precious Achiuwa, PF",Toronto Raptors,"$2,840,160"
288,"Christian Braun, G",Denver Nuggets,"$2,808,600"
289,"Jalen Johnson, SF",Atlanta Hawks,"$2,792,640"
290,"Tyrese Maxey, PG",Philadelphia 76ers,"$2,726,880"
291,"Bruno Fernando, F",Atlanta Hawks,"$2,717,391"
292,"Trey Lyles, PF",Sacramento Kings,"$2,700,000"
293,"Walker Kessler, C",Utah Jazz,"$2,696,400"
294,"Marc Gasol, C",Memphis Grizzlies,"$2,692,991"
295,"Anthony Tolliver, PF",New Orleans Pelicans,"$2,692,991"
296,"Keon Johnson, G",Portland Trail Blazers,"$2,681,040"
297,"Charles Bassey, C",San Antonio Spurs,"$2,600,000"
298,"David Roddy, F",Memphis Grizzlies,"$2,588,640"
299,"Isaiah Jackson, SF",Indiana Pacers,"$2,573,760"
300,"Zeke Nnaji, PF",Denver Nuggets,"$2,498,760"
301,"MarJon Beauchamp, F",Milwaukee Bucks,"$2,485,200"
302,"Usman Garuba, PF",Houston Rockets,"$2,471,160"
303,"Montrezl Harrell, C",Philadelphia 76ers,"$2,463,490"
304,"Willy Hernangomez, C",New Orleans Pelicans,"$2,443,581"
305,"Blake Wesley, G",San Antonio Spurs,"$2,385,480"
306,"Josh Christopher, SG",Houston Rockets,"$2,372,160"
307,"Leandro Bolmaro, F",Utah Jazz,"$2,353,320"
308,"Immanuel Quickley, SG",New York Knicks,"$2,316,240"
309,"Wendell Moore Jr., G",Minnesota Timberwolves,"$2,306,520"
310,"John Konchar, SG",Memphis Grizzlies,"$2,300,000"
