,#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/ TOV,STL/ TOV
378,379,Ryan Gomes,LAC,32,425,74,31,95,32.6,4,29,13.8,8,11,72.7,14,47,61,12,16,0,15,34,81,0.8,1.07
379,380,Gilbert Arenas,MEM,17,211,72,26,64,40.6,13,39,33.3,7,10,70.0,2,16,18,18,11,1,12,35,67,1.5,0.92
380,380,Ish Smith,ORL,26,234,72,31,81,38.3,3,9,33.3,7,10,70.0,7,28,35,41,15,2,13,15,99,3.15,1.15
381,382,Royal Ivey,OKC,34,354,71,26,73,35.6,18,53,34.0,1,8,12.5,1,23,24,10,14,0,9,36,56,1.11,1.56
382,383,Chris Wright,GSW,24,186,70,23,45,51.1,0,0,0.0,24,31,77.4,19,26,45,4,7,13,8,22,102,0.5,0.88
383,383,Hamed Haddadi,MEM,35,206,70,26,48,54.2,0,1,0.0,18,26,69.2,28,43,71,8,1,26,21,43,125,0.38,0.05
384,385,DaJuan Summers,NOH,15,209,68,28,65,43.1,5,16,31.3,7,9,77.8,8,15,23,10,7,0,8,31,61,1.25,0.88
385,386,Jerome Dyson,NOH,9,180,67,19,48,39.6,1,8,12.5,28,36,77.8,2,17,19,18,11,2,20,19,60,0.9,0.55
386,386,Solomon Jones,NOH,21,292,67,24,61,39.3,0,0,0.0,19,23,82.6,32,26,58,9,9,11,18,43,95,0.5,0.5
387,388,Josh Selby,MEM,28,237,63,25,72,34.7,2,15,13.3,11,14,78.6,2,13,15,30,7,0,29,17,36,1.03,0.24
388,389,Jeremy Evans,UTA,29,217,62,27,42,64.3,0,1,0.0,8,16,50.0,19,31,50,13,6,24,5,23,127,2.6,1.2
389,389,Malcolm Lee,MIN,19,243,62,23,59,39.0,2,10,20.0,14,17,82.4,9,17,26,31,8,4,17,22,75,1.82,0.47
390,391,Luke Harangody,CLE,21,231,60,23,65,35.4,5,21,23.8,9,12,75.0,20,33,53,6,6,3,4,17,79,1.5,1.5
391,392,Cory Joseph,SAS,29,266,58,22,70,31.4,3,15,20.0,11,17,64.7,5,20,25,34,7,3,12,16,61,2.83,0.58
392,392,Eduardo Najera,CHA,22,270,58,24,64,37.5,8,29,27.6,2,4,50.0,11,39,50,12,19,4,7,40,94,1.71,2.71
393,394,Cole Aldrich,OKC,26,173,57,22,42,52.4,0,0,0.0,13,14,92.9,13,35,48,3,8,16,9,22,102,0.33,0.89
394,394,Kwame Brown,GSW,9,187,57,21,40,52.5,0,0,0.0,15,34,44.1,16,41,57,4,8,0,14,21,74,0.29,0.57
395,394,Trey Thompkins,LAC,24,119,57,24,61,39.3,4,13,30.8,5,7,71.4,4,20,24,3,3,3,6,10,45,0.5,0.5
396,397,Mickell Gladness,GSW,26,252,56,25,59,42.4,0,0,0.0,6,12,50.0,14,44,58,5,4,20,7,32,96,0.71,0.57
397,398,Chris Johnson,NOH,27,175,55,20,41,48.8,0,0,0.0,15,19,78.9,15,25,40,2,6,9,15,33,72,0.13,0.4
398,398,Joel Przybilla,POR,27,449,55,22,48,45.8,0,0,0.0,11,18,61.1,29,109,138,6,4,16,22,66,164,0.27,0.18
399,398,Luke Walton,CLE,30,364,55,24,65,36.9,7,20,35.0,0,0,0.0,13,36,49,35,5,1,27,41,77,1.3,0.18
400,401,Jason Kapono,LAL,27,269,54,21,55,38.2,8,27,29.6,4,4,100.0,2,12,14,11,3,0,6,21,42,1.83,0.5
401,402,Mike James,CHI,11,120,53,20,49,40.8,6,10,60.0,7,8,87.5,2,8,10,29,4,2,14,20,54,2.07,0.29
402,403,Ronny Turiaf,MIA,17,279,51,19,33,57.6,0,1,0.0,13,22,59.1,20,50,70,10,14,17,14,39,125,0.71,1.0
403,403,T.J. Ford,SAS,14,191,51,19,43,44.2,2,8,25.0,11,14,78.6,3,15,18,45,9,2,23,23,75,1.96,0.39
404,405,Anthony Carter,TOR,24,209,47,17,53,32.1,5,17,29.4,8,10,80.0,5,28,33,34,8,4,17,20,71,2.0,0.47
405,405,Armon Johnson,NJN,9,124,47,20,43,46.5,1,3,33.3,6,6,100.0,1,12,13,11,5,0,6,9,47,1.83,0.83
406,407,Darius Morris,LAL,19,169,46,18,42,42.9,4,9,44.4,6,9,66.7,2,14,16,21,2,0,19,16,39,1.1,0.1
407,407,Vernon Macklin,DET,23,135,46,19,35,54.3,0,0,0.0,8,14,57.1,14,20,34,5,4,4,3,9,68,1.67,1.33
408,409,Daniel Orton,ORL,16,187,45,17,30,56.7,0,1,0.0,11,25,44.0,19,20,39,5,8,9,7,30,72,0.71,1.14
409,410,Brian Cardinal,DAL,44,273,43,14,55,25.5,10,49,20.4,5,6,83.3,4,30,34,16,8,2,8,38,53,2.0,1.0
410,411,Jerome Jordan,NYK,21,108,42,17,33,51.5,0,0,0.0,8,10,80.0,14,13,27,4,1,6,2,15,60,2.0,0.5
411,411,Juwan Howard,MIA,28,190,42,17,55,30.9,0,0,0.0,8,10,80.0,18,29,47,10,4,1,20,18,44,0.5,0.2
412,411,Renaldo Balkman,NYK,14,115,42,16,32,50.0,2,9,22.2,8,11,72.7,6,20,26,5,4,3,6,14,55,0.83,0.67
413,411,Tony Battie,PHI,27,295,42,19,51,37.3,0,1,0.0,4,4,100.0,8,59,67,16,4,6,4,26,99,4.0,1.0
414,415,Jamaal Magloire,TOR,34,374,41,17,45,37.8,0,0,0.0,7,27,25.9,25,88,113,6,4,10,22,66,104,0.27,0.18
415,416,Marcus Morris Sr.,HOU,17,126,40,16,54,29.6,2,17,11.8,6,8,75.0,5,11,16,3,2,2,4,12,19,0.75,0.5
416,416,Sean Williams,BOS,11,107,40,14,22,63.6,0,0,0.0,12,13,92.3,13,12,25,5,4,8,10,18,63,0.5,0.4
417,418,Earl Boykins,HOU,8,111,39,12,36,33.3,2,9,22.2,13,15,86.7,0,11,11,17,1,0,7,5,35,2.43,0.14
418,418,Jason Collins,ATL,30,308,39,16,40,40.0,0,0,0.0,7,15,46.7,12,36,48,10,4,3,10,34,62,1.0,0.4
419,420,Eric Maynor,OKC,9,137,38,14,39,35.9,6,17,35.3,4,4,100.0,3,10,13,22,5,0,11,13,42,2.0,0.46
420,421,Jon Brockman,MIL,35,239,37,15,45,33.3,0,1,0.0,7,15,46.7,33,42,75,9,4,1,10,33,78,0.9,0.4
421,421,Lazar Hayward,OKC,26,141,37,13,38,34.2,4,14,28.6,7,12,58.3,2,14,16,4,3,1,9,18,22,0.44,0.33
422,423,Julyan Stone,DEN,22,179,36,13,31,41.9,2,11,18.2,8,11,72.7,5,20,25,37,8,6,11,18,80,3.36,0.73
423,424,Brad Miller,MIN,15,146,35,9,27,33.3,7,15,46.7,10,12,83.3,4,15,19,24,4,2,12,10,52,2.0,0.33
424,424,Courtney Fortson,HOU,10,95,35,11,32,34.4,3,13,23.1,10,15,66.7,6,9,15,10,3,0,10,5,27,1.0,0.3
425,424,Hasheem Thabeet,POR,20,139,35,11,21,52.4,0,0,0.0,13,20,65.0,16,26,42,0,1,10,8,20,63,0.0,0.13
426,427,Damion James,NJN,7,170,34,13,35,37.1,0,1,0.0,8,12,66.7,7,26,33,3,7,7,12,17,46,0.25,0.58
427,427,Jeff Ayres,IND,20,106,34,15,36,41.7,0,0,0.0,4,7,57.1,12,21,33,4,3,2,2,16,50,2.0,1.5
428,429,DeAndre Liggins,ORL,17,115,33,12,25,48.0,0,4,0.0,9,19,47.4,6,9,15,5,6,0,10,6,26,0.5,0.6
429,429,Solomon Alabi,TOR,14,122,33,13,36,36.1,0,0,0.0,7,8,87.5,15,32,47,3,2,9,5,11,65,0.6,0.4
430,431,Brian Scalabrine,CHI,28,122,32,14,30,46.7,1,7,14.3,3,6,50.0,8,13,21,15,5,6,9,9,51,1.67,0.56
431,432,DeSagana Diop,CHA,27,325,31,15,42,35.7,0,0,0.0,1,6,16.7,33,52,85,23,6,13,19,36,107,1.21,0.32
432,433,Eddy Curry,MIA,14,83,30,12,26,46.2,0,0,0.0,6,8,75.0,4,8,12,1,0,2,10,17,19,0.1,0.0
433,434,Hassan Whiteside,SAC,18,109,29,12,27,44.4,0,0,0.0,5,12,41.7,16,23,39,0,3,15,5,12,59,0.0,0.6
434,435,Josh Davis,MEM,15,130,28,10,27,37.0,4,13,30.8,4,8,50.0,16,11,27,6,7,1,3,19,45,2.0,2.33
435,436,Carldell Johnson,NOH,15,119,27,11,35,31.4,4,15,26.7,1,3,33.3,1,8,9,22,8,0,7,11,33,3.14,1.14
436,437,Justin Dentmon,TOR,6,91,26,10,28,35.7,2,14,14.3,4,6,66.7,0,8,8,10,2,0,7,10,19,1.43,0.29
437,438,Jeff Foster,IND,11,141,25,9,18,50.0,1,1,100.0,6,9,66.7,18,24,42,4,8,1,7,26,61,0.57,1.14
438,439,Mikki Moore,GSW,7,118,24,9,20,45.0,0,0,0.0,6,7,85.7,7,15,22,5,3,3,7,24,38,0.71,0.43
439,440,Darryl Watkins,NOH,5,98,23,7,14,50.0,0,0,0.0,9,18,50.0,8,19,27,3,5,4,8,14,38,0.38,0.63
440,441,Craig Brackins,PHI,14,88,22,9,33,27.3,3,9,33.3,1,2,50.0,5,10,15,8,0,1,4,6,17,2.0,0.0
441,442,Jeff Adrien,HOU,8,63,21,7,16,43.8,0,0,0.0,7,12,58.3,5,17,22,1,0,2,2,13,30,0.5,0.0
442,442,Keith Bogans,NJN,5,94,21,8,21,38.1,3,12,25.0,2,5,40.0,5,6,11,3,2,0,3,15,18,1.0,0.67
443,442,Trey Johnson,NOH,11,61,21,8,14,57.1,0,0,0.0,5,5,100.0,3,9,12,4,1,0,5,10,27,0.8,0.2
444,445,Justin Harper,ORL,14,84,20,9,31,29.0,2,13,15.4,0,1,0.0,3,9,12,2,2,3,6,5,10,0.33,0.33
445,445,Tyler Honeycutt,SAC,15,88,20,8,24,33.3,1,3,33.3,3,5,60.0,3,11,14,7,4,3,2,3,28,3.5,2.0
446,447,Jamario Moon,CHA,8,123,18,7,24,29.2,2,10,20.0,2,2,100.0,2,20,22,5,1,5,8,5,26,0.63,0.13
447,447,Mychel Thompson,CLE,5,95,18,7,24,29.2,4,11,36.4,0,0,0.0,0,5,5,7,2,1,5,8,11,1.4,0.4
448,449,Andres Nocioni,PHI,11,56,17,5,20,25.0,1,6,16.7,6,11,54.5,1,13,14,1,1,1,5,4,9,0.2,0.2
449,449,Christian Eyenga,LAL,7,103,17,6,25,24.0,1,3,33.3,4,8,50.0,4,10,14,5,3,5,3,7,18,1.67,1.0
450,451,Eric Dawson,SAS,4,39,15,7,12,58.3,0,0,0.0,1,2,50.0,5,5,10,0,1,2,3,6,19,0.0,0.33
451,452,Edwin Ubiles,WAS,4,52,14,5,18,27.8,1,5,20.0,3,3,100.0,2,8,10,1,1,1,1,1,13,1.0,1.0
452,452,Greg Smith,HOU,8,69,14,7,11,63.6,0,0,0.0,0,0,0.0,5,15,20,1,2,5,1,17,37,1.0,2.0
453,452,Morris Almond,WAS,4,67,14,6,17,35.3,1,3,33.3,1,3,33.3,1,7,8,2,7,0,1,6,17,2.0,7.0
454,452,Travis Leslie,LAC,10,45,14,5,14,35.7,0,0,0.0,4,9,44.4,6,3,9,5,2,2,2,4,16,2.5,1.0
455,456,Andre Emmett,NJN,6,45,13,4,7,57.1,0,1,0.0,5,8,62.5,2,4,6,1,2,1,2,2,15,0.5,1.0
456,456,Larry Owens,NJN,7,75,13,4,11,36.4,2,5,40.0,3,4,75.0,2,11,13,4,0,1,2,10,21,2.0,0.0
457,458,D.J. Kennedy,CLE,2,59,12,5,12,41.7,2,4,50.0,0,2,0.0,1,6,7,3,2,0,3,7,12,1.0,0.67
458,458,Larry Hughes,ORL,9,114,12,5,22,22.7,1,7,14.3,1,2,50.0,1,4,5,7,2,0,12,10,-4,0.58,0.17
459,460,Xavier Silas,PHI,2,39,11,4,15,26.7,1,6,16.7,2,3,66.7,2,2,4,3,0,0,3,5,3,1.0,0.0
460,461,Blake Ahearn,UTA,4,30,10,4,14,28.6,2,9,22.2,0,0,0.0,0,2,2,1,0,0,5,4,-2,0.2,0.0
461,461,Derrick Byars,SAS,2,37,10,3,11,27.3,0,6,0.0,4,4,100.0,6,5,11,1,2,0,0,2,16,0.0,0.0
462,463,Kyrylo Fesenko,IND,3,17,8,2,5,40.0,0,0,0.0,4,6,66.7,2,7,9,1,2,0,0,2,15,0.0,0.0
463,463,Ryan Reid,OKC,5,17,8,4,5,80.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,1,8,0.0,0.0
464,465,Jerry Smith,NJN,5,46,7,3,14,21.4,1,6,16.7,0,0,0.0,2,5,7,4,5,0,0,5,12,0.0,0.0
465,465,Kelenna Azubuike,DAL,3,18,7,3,8,37.5,1,3,33.3,0,0,0.0,0,0,0,0,1,0,4,1,-1,0.0,0.25
466,467,Dennis Horner,NJN,8,22,5,1,4,25.0,0,1,0.0,3,4,75.0,2,3,5,0,0,0,1,1,5,0.0,0.0
467,468,Darington Hobson,MIL,5,39,4,2,13,15.4,0,6,0.0,0,0,0.0,0,3,3,6,0,0,2,1,0,3.0,0.0
468,468,Earl Barron,GSW,2,9,4,2,4,50.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,5,3,0.0,0.0
469,468,Jeff Foote,NOH,4,39,4,2,6,33.3,0,0,0.0,0,0,0.0,1,5,6,0,0,1,2,5,5,0.0,0.0
470,471,Erick Dampier,ATL,15,83,2,1,8,12.5,0,0,0.0,0,0,0.0,10,15,25,4,1,4,3,9,26,1.33,0.33
471,471,Francisco Elson,PHI,5,16,2,1,3,33.3,0,0,0.0,0,0,0.0,0,1,1,1,1,1,1,0,3,1.0,1.0
472,471,Ike Diogu,SAS,2,14,2,0,2,0.0,0,0,0.0,2,2,100.0,0,1,1,0,0,0,1,1,0,0.0,0.0
473,474,Malcolm Thomas,SAS,3,15,1,0,3,0.0,0,0,0.0,1,2,50.0,1,2,3,1,1,1,0,0,3,0.0,0.0
474,475,Brian Skinner,MEM,1,4,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-1,0.0,0.0
475,475,Dan Gadzuric,NYK,2,13,0,0,2,0.0,0,0,0.0,0,2,0.0,1,4,5,0,1,1,1,4,2,0.0,1.0
476,475,Hamady Ndiaye,WAS,3,3,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-1,0.0,0.0
477,475,Keith Benson,GSW,3,9,0,0,1,0.0,0,0,0.0,0,0,0.0,2,1,3,0,0,0,0,0,2,0.0,0.0
